gene_id	log2FoldChange	pvalue	padj	A	B	C	D	E	F	A.readCount	B.readCount	C.readCount	D.readCount	E.readCount	F.readCount	A.fpkm	B.fpkm	C.fpkm	D.fpkm	E.fpkm	F.fpkm
Ubn1	-0.255856547745923	0.317982820932068	0.713956112711965	485.933727830601	523.609786685035	462.855386529895	442.755247211313	435.713995931981	354.861270657373	600	486	449	344	511	359	6.868623471616	6.27191319683699	5.53886302129177	5.00102900387739	5.73659659224094	4.302001822623
Ubn2	-0.474525794523598	0.117131256421847	0.493467462920075	287.510788966439	371.698305362833	391.726162319288	297.315296819225	249.832095514815	209.555959273992	355	345	380	231	293	212	1.79478928564064	1.96629883036555	2.07025830995659	1.48313118468232	1.45267240515847	1.12196331865775
Ubox5	0.229316382385924	0.527114603894869	0.839520888530836	76.1296173601275	67.8753427184305	99.9932572236076	105.54049497479	80.1509111890532	100.824093612958	94	63	97	82	94	102	1.86605888634299	1.40988389908746	2.07503320075315	2.06725387522915	1.8299545173532	2.11960699881951
Ubp1	-0.352316508210965	0.168468534941239	0.57450331283029	601.747932963561	685.217745538441	624.700143067074	541.860346151054	425.481964716357	530.809198727046	743	636	606	421	499	537	13.9532266053867	13.4644388997031	12.2634956829585	10.0403858029797	9.18969992614194	10.5564477281546
Ubqln1	0.228030413184542	0.548639436512202	0.848511718495075	2470.97300601861	1709.81220466903	2621.47271257355	1585.68158303586	2812.10324576061	3568.38213669392	3051	1587	2543	1232	3298	3610	61.3069367295151	35.9492344488156	55.0642329615024	31.4384110770063	64.9879760202473	75.9333032844737
Ubqln2	-0.200873521601106	0.500144287849386	0.826882662057724	546.675443809426	443.883193650688	364.923845950073	341.075989857552	448.504034951511	389.457773367702	675	412	354	265	526	394	14.9506558295529	10.2872429792667	8.44919936828401	7.45392153127258	11.4250251960729	9.13503835597461
Ubqln4	0.134856030112286	0.639995035132408	0.891035778482861	583.120473396721	546.234900924512	560.786927109717	525.128316459929	788.719072871003	540.69391378714	720	507	544	408	925	547	16.0144122022903	12.7125237215317	13.0386681105026	11.5244747566829	20.176005627201	12.7357203697515
Ubr1	-0.500794713156467	0.0742946766665916	0.40883224834095	455.157925067996	391.091260425242	538.108044028074	307.611930475302	300.992251592934	369.688343247514	562	363	522	239	353	374	5.35858147744632	3.9018040810096	5.36339583911425	2.89396913828262	3.30067816053643	3.73286950045278
Ubr2	-0.256473357593009	0.341443051457981	0.732755219587738	826.897226858406	1059.07082368599	943.235364531969	656.410395574911	816.857158713968	893.578241432495	1021	983	915	510	958	904	9.76524486321539	10.5987884556357	9.43049120554812	6.19455399983115	8.98540911765117	9.05072789583641
Ubr3	-0.330036045603098	0.290599175999421	0.696318414663499	1274.76614600894	1384.44151417751	1835.95867129119	917.687474597866	1179.24159760065	1477.76490148405	1574	1285	1781	713	1383	1495	14.4176251829857	13.2689769959669	17.5795902056116	8.29394219555361	12.4229899600183	14.3346758865849
